               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092613,            0.022805,             0.02131,             0.32846,             0.52333,             0.38031,             0.14882,             0.06113,             0.01237,           0.0088409,            0.070039,            0.003329,            0.003329
                   1,               0.064,             0.01978,           0.0070899,             0.72185,             0.61917,             0.70496,             0.31448,            0.049362,            0.010481,           0.0056879,            0.039907,           0.0065304,           0.0065304
                   2,             0.05871,            0.018734,           0.0056111,              0.7909,             0.66216,             0.73729,             0.28107,            0.049098,            0.010256,           0.0053775,           0.0096431,           0.0095998,           0.0095998
                   3,            0.055523,            0.018923,           0.0054637,             0.79867,              0.6971,             0.78735,             0.40762,            0.041781,             0.01029,           0.0034893,            0.009406,            0.009406,            0.009406
                   4,            0.052213,            0.018443,           0.0048899,             0.88626,             0.75446,              0.8411,             0.45467,            0.039077,           0.0093663,           0.0029378,            0.009406,            0.009406,            0.009406
                   5,            0.049356,            0.017772,           0.0041426,             0.91425,             0.75784,             0.85514,             0.43377,            0.040424,           0.0090941,           0.0027936,            0.009208,            0.009208,            0.009208
                   6,            0.048121,            0.017208,           0.0036259,             0.86648,             0.77082,             0.85024,             0.46334,            0.037507,           0.0089301,           0.0033136,             0.00901,             0.00901,             0.00901
                   7,            0.046892,            0.017214,           0.0035592,             0.91193,              0.7526,              0.8602,             0.48207,            0.038245,           0.0087178,           0.0043387,            0.008812,            0.008812,            0.008812
                   8,            0.045714,            0.016899,           0.0031098,             0.91711,             0.79927,             0.88224,             0.50928,            0.035735,           0.0086212,            0.002292,            0.008614,            0.008614,            0.008614
                   9,            0.044465,            0.016694,           0.0028597,             0.94338,             0.82074,              0.8992,             0.52257,            0.034569,           0.0081897,           0.0019309,            0.008416,            0.008416,            0.008416
                  10,            0.043399,            0.016023,           0.0025871,             0.92926,             0.80929,              0.8953,             0.52056,            0.034268,           0.0084275,           0.0018151,            0.008218,            0.008218,            0.008218
                  11,             0.04279,            0.016016,           0.0024651,             0.92401,             0.81711,             0.90324,              0.5346,            0.033977,           0.0080961,           0.0021363,             0.00802,             0.00802,             0.00802
                  12,            0.042571,            0.015716,            0.002538,             0.92544,             0.82265,             0.89941,             0.52631,            0.033842,           0.0081679,             0.00212,            0.007822,            0.007822,            0.007822
                  13,            0.042063,            0.015592,           0.0020665,             0.92495,             0.83648,             0.90683,             0.53875,            0.032748,           0.0079204,           0.0021878,            0.007624,            0.007624,            0.007624
                  14,            0.041151,            0.015365,           0.0023315,             0.92373,             0.84261,             0.90249,             0.54213,            0.032707,           0.0079718,           0.0022641,            0.007426,            0.007426,            0.007426
                  15,            0.040481,            0.015455,           0.0021101,             0.91858,             0.84055,             0.90483,             0.55209,            0.032106,           0.0078348,           0.0028264,            0.007228,            0.007228,            0.007228
                  16,            0.040223,            0.014908,           0.0018855,             0.93823,             0.83468,             0.90984,             0.54753,            0.032847,           0.0078391,           0.0021135,             0.00703,             0.00703,             0.00703
                  17,            0.040222,            0.015073,           0.0020989,             0.93609,             0.82699,             0.90405,             0.55178,            0.032186,           0.0077402,           0.0024951,            0.006832,            0.006832,            0.006832
                  18,            0.039788,             0.01502,            0.001609,             0.93781,             0.85286,             0.91913,             0.55609,             0.03185,           0.0075838,           0.0020925,            0.006634,            0.006634,            0.006634
                  19,            0.039332,            0.014683,           0.0019907,             0.94301,             0.84759,             0.90965,             0.56974,            0.031857,           0.0075541,           0.0023096,            0.006436,            0.006436,            0.006436
                  20,            0.038989,            0.014595,           0.0018091,             0.94089,             0.85215,             0.92304,             0.57331,            0.031116,           0.0073667,           0.0022792,            0.006238,            0.006238,            0.006238
                  21,            0.038723,            0.014525,           0.0018508,             0.93837,             0.85196,             0.92539,              0.5803,            0.031076,           0.0075159,           0.0024177,             0.00604,             0.00604,             0.00604
                  22,            0.037947,            0.014373,           0.0014129,             0.95005,             0.87754,             0.93184,              0.5863,            0.030544,           0.0074934,           0.0019787,            0.005842,            0.005842,            0.005842
                  23,            0.037548,            0.014269,           0.0014224,             0.93908,             0.87731,             0.93005,             0.59223,            0.030445,           0.0072908,           0.0016525,            0.005644,            0.005644,            0.005644
                  24,            0.037591,            0.014138,           0.0013474,             0.93853,             0.87499,             0.92855,             0.59033,            0.030326,           0.0073152,           0.0017645,            0.005446,            0.005446,            0.005446
                  25,            0.036848,            0.014102,            0.001382,             0.96132,              0.8586,             0.93592,             0.59213,            0.030279,           0.0071828,           0.0017458,            0.005248,            0.005248,            0.005248
                  26,            0.036639,            0.013943,           0.0013753,              0.9381,             0.87703,             0.93283,              0.5881,            0.029916,           0.0073755,           0.0018795,             0.00505,             0.00505,             0.00505
                  27,            0.036469,             0.01398,           0.0011828,             0.95398,              0.8705,             0.93697,             0.59419,            0.029832,           0.0072599,           0.0012867,            0.004852,            0.004852,            0.004852
                  28,            0.035881,            0.013886,           0.0011277,             0.94616,              0.8858,             0.93724,              0.5929,            0.029862,           0.0071937,           0.0013615,            0.004654,            0.004654,            0.004654
                  29,            0.035615,             0.01349,           0.0011045,              0.9475,             0.88106,             0.93881,             0.59656,            0.029826,            0.007173,           0.0013831,            0.004456,            0.004456,            0.004456
                  30,            0.035428,            0.013632,           0.0010677,             0.94014,             0.88428,             0.93851,             0.60179,            0.029669,           0.0071165,           0.0015712,            0.004258,            0.004258,            0.004258
                  31,            0.035435,            0.013298,           0.0011184,             0.94024,             0.89368,             0.93647,             0.60959,            0.029541,           0.0070578,           0.0016715,             0.00406,             0.00406,             0.00406
                  32,            0.034878,            0.013296,           0.0010238,              0.9395,             0.89298,             0.93961,             0.60786,            0.029246,           0.0070757,           0.0016275,            0.003862,            0.003862,            0.003862
                  33,             0.03489,            0.013425,          0.00095002,             0.93592,             0.90283,             0.94358,             0.60599,            0.029229,           0.0070562,           0.0013848,            0.003664,            0.003664,            0.003664
                  34,             0.03465,             0.01348,           0.0010343,             0.92225,             0.89953,             0.94606,             0.61543,            0.029106,           0.0069816,           0.0016058,            0.003466,            0.003466,            0.003466
                  35,            0.034128,            0.012931,          0.00082318,             0.94574,             0.88664,             0.93991,             0.61225,            0.029235,           0.0070436,           0.0012894,            0.003268,            0.003268,            0.003268
                  36,            0.034191,            0.013166,          0.00084964,             0.95551,             0.88396,             0.93914,             0.61778,             0.02876,           0.0069203,           0.0011433,             0.00307,             0.00307,             0.00307
                  37,            0.033859,             0.01307,          0.00083397,             0.94727,              0.8988,             0.94634,             0.61825,            0.028782,            0.006884,           0.0013537,            0.002872,            0.002872,            0.002872
                  38,            0.033902,            0.012881,          0.00099285,             0.96559,             0.87257,             0.94221,             0.61287,            0.028932,           0.0068927,           0.0017204,            0.002674,            0.002674,            0.002674
                  39,            0.033547,             0.01292,          0.00069985,             0.96073,             0.87599,             0.94358,             0.61074,            0.029286,           0.0070489,           0.0015282,            0.002476,            0.002476,            0.002476
                  40,            0.032809,            0.012673,          0.00074474,              0.9513,             0.89548,             0.94812,             0.61632,            0.028732,            0.006874,           0.0016588,            0.002278,            0.002278,            0.002278
                  41,            0.032887,            0.012605,          0.00075205,             0.96367,             0.87695,             0.94771,             0.62053,            0.028623,           0.0068061,           0.0015337,             0.00208,             0.00208,             0.00208
                  42,            0.032598,            0.012515,          0.00060165,             0.96125,             0.88492,             0.94595,              0.6237,            0.028667,           0.0068866,           0.0014977,            0.001882,            0.001882,            0.001882
                  43,             0.03229,             0.01253,          0.00060709,             0.96836,             0.87919,              0.9536,              0.6183,            0.028683,           0.0068748,            0.001466,            0.001684,            0.001684,            0.001684
                  44,            0.031975,            0.012379,          0.00055446,             0.95889,             0.87889,             0.94796,             0.62196,             0.02843,           0.0068731,           0.0017896,            0.001486,            0.001486,            0.001486
                  45,            0.032051,            0.012473,          0.00063571,             0.95404,             0.89286,             0.94938,              0.6307,            0.028399,           0.0067771,           0.0014857,            0.001288,            0.001288,            0.001288
                  46,            0.031899,            0.012338,          0.00059005,             0.96406,             0.88492,             0.94747,             0.62994,            0.028133,            0.006835,           0.0013736,             0.00109,             0.00109,             0.00109
                  47,            0.031464,            0.012124,           0.0006028,             0.96113,             0.88184,             0.95071,             0.62982,            0.027996,           0.0067926,           0.0016258,            0.000892,            0.000892,            0.000892
                  48,            0.031549,            0.012369,          0.00052885,             0.96283,             0.88516,             0.94868,             0.63128,            0.028117,           0.0068111,           0.0017371,            0.000694,            0.000694,            0.000694
                  49,            0.031238,            0.012259,          0.00059314,             0.95734,             0.88989,              0.9523,             0.63369,            0.027928,           0.0067704,           0.0016999,            0.000496,            0.000496,            0.000496
